Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,,1955,,2225,WN,335,N712SW,,,,,,IAD,TPA,810,4,8,0,,0,0,0,0,0,0
2008,1,3,4,,735,,1000,WN,3231,N772SW,,,,,,IAD,TPA,810,5,10,0,,0,0,0,0,0,0
2008,1,3,4,,620,,750,WN,448,N428WN,,,,,,IND,BWI,515,3,17,0,,0,0,0,0,0,0
2008,1,3,4,,930,,1100,WN,1746,N612SW,,,,,,IND,BWI,515,3,7,0,,0,0,0,0,0,0
2008,1,3,4,,1755,,1925,WN,3920,N464WN,,,,,,IND,BWI,515,3,10,0,,0,0,0,0,0,0
2008,1,3,4,,1915,,2110,WN,378,N726SW,,,,,,IND,JAX,688,4,10,0,,0,0,0,0,0,0
2008,1,3,4,,1830,,1940,WN,509,N763SW,,,,,,IND,LAS,1591,3,7,0,,0,0,0,0,0,0
2008,1,3,4,,1040,,1150,WN,535,N428WN,,,,,,IND,LAS,1591,7,7,0,,0,0,0,0,0,0
2008,1,3,4,,615,,650,WN,11,N689SW,,,,,,IND,MCI,451,6,19,0,,0,0,0,0,0,0
2008,1,3,4,,1620,,1655,WN,810,N648SW,,,,,,IND,MCI,451,3,6,0,,0,0,0,0,0,0
2008,1,3,4,,700,,915,WN,100,N690SW,,,,,,IND,MCO,828,5,19,0,,0,0,0,0,0,0
2008,1,3,4,,1510,,1725,WN,1333,N334SW,,,,,,IND,MCO,828,6,8,0,,0,0,0,0,0,0
2008,1,3,4,,1430,,1425,WN,829,N476WN,,,,,,IND,MDW,162,9,12,0,,0,0,0,0,0,0
2008,1,3,4,,715,,710,WN,1016,N765SW,,,,,,IND,MDW,162,7,21,0,,0,0,0,0,0,0
2008,1,3,4,,1700,,1655,WN,1827,N420WN,,,,,,IND,MDW,162,4,10,0,,0,0,0,0,0,0
2008,1,3,4,,1020,,1010,WN,2272,N263WN,,,,,,IND,MDW,162,6,9,0,,0,0,0,0,0,0
2008,1,3,4,,1425,,1625,WN,675,N286WN,,,,,,IND,PHX,1489,7,8,0,,0,0,0,0,0,0
2008,1,3,4,,745,,955,WN,1144,N778SW,,,,,,IND,PHX,1489,5,16,0,,0,0,0,0,0,0
2008,1,3,4,,1255,,1510,WN,4,N674AA,,,,,,IND,TPA,838,4,9,0,,0,0,0,0,0,0
